iter	Passed	Remaining
0	0	472
1	0	402
2	1	386
3	1	407
4	1	393
5	2	381
6	2	374
7	2	367
8	3	363
9	3	358
10	3	354
11	4	352
12	4	348
13	4	350
14	5	353
15	5	353
16	6	351
17	6	350
18	6	349
19	7	352
20	7	352
21	7	351
22	8	350
23	8	349
24	8	349
25	9	348
26	9	347
27	9	346
28	10	346
29	10	345
30	11	344
31	11	346
32	11	345
33	12	344
34	12	343
35	12	344
36	13	343
37	13	342
38	13	341
39	14	343
40	14	343
41	15	342
42	15	341
43	15	341
44	16	340
45	16	339
46	16	339
47	17	339
48	17	338
49	17	338
50	18	337
51	18	337
52	18	337
53	19	337
54	19	339
55	20	339
56	20	338
57	20	337
58	21	337
59	21	337
60	21	336
61	22	336
62	22	335
63	22	335
64	23	334
65	23	334
66	23	333
67	24	335
68	24	334
69	25	333
70	25	332
71	25	331
72	26	330
73	26	330
74	26	329
75	27	328
76	27	328
77	27	329
78	28	328
79	28	327
80	28	326
81	29	326
82	29	325
83	29	325
84	30	324
85	30	324
86	30	324
87	31	323
88	31	323
89	31	323
90	32	322
91	32	322
92	33	322
93	33	321
94	33	321
95	34	321
96	34	321
97	34	321
98	35	320
99	35	320
100	35	319
101	36	319
102	36	318
103	36	318
104	37	318
105	37	317
106	38	317
107	38	317
108	38	317
109	39	317
110	39	317
111	39	316
112	40	316
113	40	315
114	40	315
115	41	315
116	41	314
117	42	316
118	42	316
119	43	316
120	43	315
121	43	315
122	44	314
123	44	314
124	44	314
125	45	314
126	45	313
127	45	312
128	46	312
129	46	311
130	46	311
131	47	310
132	47	309
133	47	309
134	48	308
135	48	308
136	48	307
137	49	307
138	49	306
139	49	306
140	50	305
141	50	305
142	51	305
143	51	305
144	51	305
145	52	305
146	52	305
147	52	304
148	53	304
149	53	304
150	53	303
151	54	303
152	54	303
153	55	302
154	55	302
155	55	302
156	56	301
157	56	301
158	56	301
159	57	300
160	57	300
161	57	299
162	58	299
163	58	299
164	59	298
165	59	298
166	59	297
167	60	297
168	60	297
169	60	296
170	61	296
171	61	296
172	61	296
173	62	295
174	62	295
175	63	295
176	63	294
177	63	294
178	63	292
179	64	292
180	64	292
181	64	291
182	65	291
183	65	291
184	66	292
185	66	291
186	67	291
187	67	291
188	67	291
189	68	290
190	68	290
191	68	289
192	69	289
193	69	288
194	69	288
195	70	287
196	70	287
197	70	286
198	71	286
199	71	285
200	71	285
201	72	285
202	72	284
203	72	284
204	73	283
205	73	283
206	73	283
207	74	282
208	74	282
209	74	282
210	75	281
211	75	281
212	76	281
213	76	280
214	76	280
215	77	280
216	77	279
217	77	279
218	78	278
219	78	278
220	78	277
221	79	277
222	79	276
223	79	276
224	80	275
225	80	275
226	80	275
227	81	274
228	81	274
229	81	273
230	82	273
231	82	273
232	82	273
233	83	272
234	83	272
235	84	272
236	84	271
237	84	271
238	85	270
239	85	270
240	85	270
241	86	269
242	86	269
243	86	268
244	87	268
245	87	268
246	87	267
247	88	267
248	88	266
249	88	266
250	89	266
251	89	265
252	89	265
253	90	265
254	90	264
255	91	264
256	91	264
257	91	263
258	92	263
259	92	263
260	92	262
261	93	262
262	93	262
263	93	261
264	94	261
265	94	261
266	95	260
267	95	260
268	95	260
269	96	260
270	96	259
271	96	259
272	97	259
273	97	259
274	98	258
275	98	258
276	98	257
277	99	257
278	99	257
279	99	256
280	100	256
281	100	256
282	100	255
283	101	255
284	101	255
285	102	255
286	102	254
287	102	254
288	103	254
289	103	253
290	104	253
291	104	253
292	104	252
293	105	252
294	105	252
295	105	251
296	106	251
297	106	250
298	106	250
299	107	250
300	107	249
301	107	249
302	108	249
303	108	248
304	109	248
305	109	248
306	109	247
307	110	247
308	110	247
309	110	246
310	111	246
311	111	246
312	111	245
313	112	245
314	112	245
315	113	244
316	113	244
317	113	244
318	114	243
319	114	243
320	114	243
321	115	242
322	115	242
323	116	242
324	116	241
325	116	241
326	117	241
327	117	240
328	117	240
329	118	239
330	118	239
331	118	239
332	119	238
333	119	238
334	120	238
335	120	237
336	120	237
337	121	237
338	121	236
339	121	236
340	122	236
341	122	235
342	122	235
343	123	235
344	123	234
345	124	234
346	124	234
347	124	233
348	125	233
349	125	233
350	125	232
351	126	232
352	126	232
353	126	231
354	127	231
355	127	230
356	127	230
357	128	230
358	128	229
359	129	229
360	129	229
361	129	228
362	130	228
363	130	228
364	131	227
365	131	227
366	131	227
367	132	226
368	132	226
369	132	226
370	133	225
371	133	225
372	133	225
373	134	224
374	134	224
375	135	224
376	135	223
377	135	223
378	136	222
379	136	222
380	136	222
381	137	221
382	137	221
383	137	220
384	138	220
385	138	220
386	138	219
387	139	219
388	139	219
389	139	218
390	140	218
391	140	218
392	140	217
393	141	217
394	141	216
395	141	216
396	142	216
397	142	215
398	143	215
399	143	215
400	143	214
401	144	214
402	144	213
403	144	213
404	145	213
405	145	212
406	145	212
407	146	212
408	146	211
409	147	211
410	147	211
411	147	210
412	148	210
413	148	210
414	148	209
415	149	209
416	149	209
417	149	208
418	150	208
419	150	207
420	150	207
421	151	207
422	151	206
423	151	206
424	152	206
425	152	205
426	153	205
427	153	205
428	153	204
429	154	204
430	154	204
431	155	203
432	155	203
433	155	203
434	156	202
435	156	202
436	156	201
437	157	201
438	157	201
439	157	200
440	158	200
441	158	200
442	158	199
443	159	199
444	159	199
445	160	198
446	160	198
447	160	198
448	161	197
449	161	197
450	161	197
451	162	196
452	162	196
453	162	195
454	163	195
455	163	195
456	164	194
457	164	194
458	164	194
459	165	193
460	165	193
461	165	192
462	166	192
463	166	192
464	166	191
465	167	191
466	167	191
467	167	190
468	168	190
469	168	190
470	168	189
471	169	189
472	169	188
473	169	188
474	170	188
475	170	187
476	171	187
477	171	187
478	171	186
479	172	186
480	172	186
481	172	185
482	173	185
483	173	185
484	173	184
485	174	184
486	174	184
487	175	183
488	175	183
489	175	182
490	176	182
491	176	182
492	176	181
493	177	181
494	177	180
495	177	180
496	178	180
497	178	179
498	178	179
499	179	179
500	179	178
501	179	178
502	180	177
503	180	177
504	180	177
505	181	177
506	181	176
507	182	176
508	182	176
509	182	175
510	183	175
511	183	175
512	183	174
513	184	174
514	184	173
515	185	173
516	185	173
517	185	172
518	186	172
519	186	172
520	186	171
521	187	171
522	187	171
523	187	170
524	188	170
525	188	170
526	189	169
527	189	169
528	189	168
529	190	168
530	190	168
531	190	167
532	191	167
533	191	167
534	191	166
535	192	166
536	192	166
537	192	165
538	193	165
539	193	164
540	193	164
541	194	164
542	194	163
543	195	163
544	195	163
545	195	162
546	196	162
547	196	162
548	196	161
549	197	161
550	197	161
551	197	160
552	198	160
553	198	159
554	198	159
555	199	159
556	199	158
557	200	158
558	200	158
559	200	157
560	201	157
561	201	156
562	201	156
563	202	156
564	202	155
565	202	155
566	203	155
567	203	154
568	203	154
569	204	154
570	204	153
571	205	153
572	205	153
573	205	152
574	206	152
575	206	151
576	206	151
577	207	151
578	207	150
579	207	150
580	208	150
581	208	149
582	208	149
583	209	149
584	209	148
585	210	148
586	210	148
587	210	147
588	211	147
589	211	147
590	211	146
591	212	146
592	212	145
593	212	145
594	213	145
595	213	144
596	214	144
597	214	144
598	214	143
599	215	143
600	215	143
601	215	142
602	216	142
603	216	141
604	216	141
605	217	141
606	217	140
607	217	140
608	218	140
609	218	139
610	218	139
611	219	139
612	219	138
613	220	138
614	220	137
615	220	137
616	221	137
617	221	136
618	221	136
619	222	136
620	222	135
621	222	135
622	223	135
623	223	134
624	224	134
625	224	134
626	224	133
627	225	133
628	225	133
629	225	132
630	226	132
631	226	131
632	226	131
633	227	131
634	227	130
635	227	130
636	228	130
637	228	129
638	228	129
639	229	129
640	229	128
641	230	128
642	230	128
643	231	127
644	231	127
645	231	127
646	232	126
647	232	126
648	232	125
649	233	125
650	233	125
651	233	124
652	234	124
653	234	124
654	234	123
655	235	123
656	235	122
657	235	122
658	236	122
659	236	121
660	236	121
661	237	121
662	237	120
663	238	120
664	238	120
665	238	119
666	239	119
667	239	119
668	239	118
669	240	118
670	240	117
671	240	117
672	241	117
673	241	116
674	242	116
675	242	116
676	242	115
677	243	115
678	243	115
679	243	114
680	244	114
681	244	113
682	244	113
683	245	113
684	245	112
685	245	112
686	246	112
687	246	111
688	247	111
